# x y z pred gt
0.779221 -0.394248 -0.065009 4 3
0.756913 -0.436835 -0.099486 4 3
0.731562 -0.484493 -0.122808 4 3
0.689989 -0.270539 0.000901 4 3
0.666666 -0.316167 -0.031547 4 3
0.621036 -0.402359 -0.082248 4 3
0.596699 -0.450017 -0.106584 4 3
0.742716 -0.329350 -0.024449 4 3
0.720408 -0.372952 -0.056898 4 3
0.698100 -0.414526 -0.084276 4 3
0.650441 -0.230991 0.022195 4 3
0.628133 -0.272566 -0.002141 4 3
0.603798 -0.319209 -0.029519 4 3
0.561208 -0.401344 -0.078192 4 3
0.536873 -0.446975 -0.100500 4 3
0.514564 -0.489565 -0.119766 4 3
0.623062 -0.154940 0.072895 4 3
0.600756 -0.197530 0.037405 4 3
0.578447 -0.240117 0.011041 4 3
0.553097 -0.287775 -0.012281 4 3
0.531802 -0.329350 -0.039659 4 3
0.485157 -0.418583 -0.086304 4 3
0.462849 -0.461173 -0.107598 4 3
0.422289 -0.276623 -0.009239 4 3
0.399981 -0.319209 -0.033575 4 3
0.377674 -0.362814 -0.057912 4 3
0.354351 -0.406416 -0.079206 4 3
0.332042 -0.447990 -0.098472 4 3
0.583518 -0.110324 0.102302 4 3
0.561208 -0.153928 0.065797 4 3
0.538900 -0.195500 0.042475 4 3
0.515579 -0.240117 0.015097 4 3
0.493270 -0.282706 -0.010253 4 3
0.470961 -0.325293 -0.034589 4 3
0.449668 -0.366868 -0.060953 4 3
0.427359 -0.409458 -0.082248 4 3
0.403024 -0.455089 -0.102528 4 3
0.469948 -0.068749 0.110414 4 3
0.445611 -0.115395 0.085064 4 3
0.423304 -0.158997 0.062756 4 3
0.400996 -0.200572 0.033349 4 3
0.378687 -0.244174 0.007999 4 3
0.355366 -0.287775 -0.013295 4 3
0.334071 -0.328338 -0.035603 4 3
0.287427 -0.417568 -0.084276 4 3
0.265117 -0.461173 -0.107598 4 3
0.537888 -0.055569 0.123596 4 3
0.516593 -0.097141 0.097232 4 3
0.491243 -0.144800 0.068840 4 3
0.469948 -0.186374 0.041461 4 3
0.446626 -0.230991 0.017125 4 3
0.412148 -0.056581 0.125624 4 3
0.386798 -0.103228 0.095204 4 3
0.364491 -0.146829 0.063769 4 3
0.342183 -0.189416 0.043489 4 3
0.317846 -0.235048 0.015097 4 3
0.294524 -0.279665 -0.011267 4 3
0.273230 -0.320224 -0.033575 4 3
0.227600 -0.407431 -0.082248 4 3
0.204278 -0.451032 -0.103542 4 3
0.279315 -0.183332 0.045518 4 3
0.257005 -0.224907 0.022195 4 3
0.233685 -0.268509 -0.001127 4 3
0.212390 -0.311099 -0.024449 4 3
0.166758 -0.397290 -0.077177 4 3
0.144451 -0.439877 -0.097458 4 3
0.120115 -0.484493 -0.120780 4 3
0.346238 -0.054554 0.123596 4 3
0.324945 -0.096129 0.099260 4 3
0.301623 -0.139731 0.068840 4 3
0.252950 -0.098156 0.099260 4 3
0.230641 -0.140746 0.070868 4 3
0.207320 -0.185362 0.045518 4 3
0.182984 -0.232006 0.024223 4 3
0.161690 -0.271551 -0.003155 4 3
0.139381 -0.314140 -0.032561 4 3
0.092736 -0.402359 -0.078192 4 3
0.070428 -0.445960 -0.097458 4 3
0.047106 -0.491592 -0.124836 4 3
0.207320 -0.080919 0.110414 4 3
0.185011 -0.123506 0.086078 4 3
0.163716 -0.163054 0.059714 4 3
0.141408 -0.206656 0.032335 4 3
0.118086 -0.250257 0.010027 4 3
0.096793 -0.291832 -0.012281 4 3
0.073471 -0.336449 -0.041687 4 3
0.050148 -0.379039 -0.062981 4 3
0.004518 -0.467257 -0.106584 4 3
0.147493 -0.081931 0.110414 4 3
0.125185 -0.124521 0.079993 4 3
0.102877 -0.166096 0.059714 4 3
0.080568 -0.210713 0.034363 4 3
0.058260 -0.252287 0.007999 4 3
0.034938 -0.295889 -0.013295 4 3
0.011615 -0.341518 -0.042702 4 3
-0.033000 -0.426694 -0.087318 4 3
-0.058350 -0.474353 -0.109626 4 3
-0.103980 -0.327323 -0.033575 4 3
-0.127304 -0.371940 -0.056898 4 3
-0.172934 -0.459143 -0.102528 4 3
0.020742 -0.221865 0.027265 4 3
-0.001566 -0.264455 0.003943 4 3
-0.024888 -0.309072 -0.024449 4 3
-0.047198 -0.351658 -0.046757 4 3
-0.093841 -0.440892 -0.093402 4 3
-0.117163 -0.484493 -0.112668 4 3
0.087666 -0.094099 0.105344 4 3
0.066372 -0.135674 0.075938 4 3
0.043050 -0.180290 0.051601 4 3
-0.037057 -0.089030 0.109400 4 3
-0.058350 -0.128578 0.082022 4 3
-0.080659 -0.172180 0.059714 4 3
-0.104995 -0.218823 0.032335 4 3
-0.125275 -0.258371 0.002929 4 3
-0.149612 -0.302988 -0.021407 4 3
-0.173949 -0.349631 -0.044729 4 3
-0.217551 -0.433793 -0.089346 4 3
-0.241887 -0.480440 -0.111654 4 3
0.031895 -0.067737 0.123596 4 3
0.010601 -0.108297 0.095204 4 3
-0.010693 -0.148856 0.069854 4 3
-0.035029 -0.195500 0.040447 4 3
-0.057337 -0.239105 0.018139 4 3
-0.079645 -0.279665 -0.011267 4 3
-0.098912 -0.079904 0.111428 4 3
-0.121219 -0.122491 0.085064 4 3
-0.145557 -0.167108 0.055657 4 3
-0.168877 -0.211724 0.037405 4 3
-0.190172 -0.253299 0.005971 4 3
-0.215522 -0.300958 -0.018365 4 3
-0.236817 -0.342533 -0.043715 4 3
-0.283461 -0.430751 -0.087318 4 3
-0.306782 -0.474353 -0.111654 4 3
-0.294615 -0.336449 -0.036617 4 3
-0.317938 -0.381065 -0.060953 4 3
-0.342273 -0.426694 -0.081234 4 3
-0.364582 -0.469284 -0.106584 4 3
-0.157724 -0.075848 0.116498 4 3
-0.180031 -0.117422 0.087092 4 3
-0.203355 -0.163054 0.063769 4 3
-0.226676 -0.206656 0.040447 4 3
-0.250000 -0.250257 0.016111 4 3
-0.272308 -0.292847 -0.012281 4 3
-0.229718 -0.079904 0.113456 4 3
-0.252027 -0.124521 0.085064 4 3
-0.277377 -0.172180 0.061742 4 3
-0.298670 -0.211724 0.035377 4 3
-0.320978 -0.255329 0.007999 4 3
-0.345315 -0.300958 -0.015323 4 3
-0.367624 -0.342533 -0.042702 4 3
-0.389932 -0.385122 -0.066024 4 3
-0.413254 -0.430751 -0.085290 4 3
-0.434549 -0.471311 -0.105570 4 3
-0.280419 -0.076863 0.118526 4 3
-0.302727 -0.118437 0.088106 4 3
-0.326050 -0.163054 0.066812 4 3
-0.348359 -0.206656 0.040447 4 3
-0.372694 -0.251272 0.015097 4 3
-0.397029 -0.297916 -0.011267 4 3
-0.418324 -0.338476 -0.037631 4 3
-0.441647 -0.384107 -0.061968 4 3
-0.464969 -0.428724 -0.085290 4 3
-0.487277 -0.469284 -0.107598 4 3
-0.336190 -0.069764 0.125624 4 3
-0.360526 -0.115395 0.095204 4 3
-0.381820 -0.156970 0.067825 4 3
-0.405142 -0.201587 0.044503 4 3
-0.428465 -0.245188 0.022195 4 3
-0.450772 -0.287775 -0.006197 4 3
-0.472066 -0.327323 -0.030533 4 3
-0.519725 -0.418583 -0.077177 4 3
-0.540005 -0.458131 -0.100500 4 3
-0.563328 -0.501733 -0.123822 4 3
-0.413254 -0.097141 0.104330 4 3
-0.436577 -0.140746 0.079993 4 3
-0.459899 -0.186374 0.053629 4 3
-0.483221 -0.229979 0.028279 4 3
-0.505529 -0.272566 0.003943 4 3
-0.526822 -0.314140 -0.024449 4 3
-0.573467 -0.401344 -0.070080 4 3
-0.596791 -0.445960 -0.090360 4 3
-0.619099 -0.489565 -0.116724 4 3
-0.486263 -0.093087 0.108386 4 3
-0.508571 -0.135674 0.082022 4 3
-0.529866 -0.176237 0.059714 4 3
-0.553187 -0.219838 0.039433 4 3
-0.576511 -0.265467 0.009013 4 3
-0.596791 -0.304000 -0.014309 4 3
-0.621126 -0.349631 -0.038645 4 3
-0.644449 -0.395260 -0.067038 4 3
-0.665743 -0.434808 -0.086304 4 3
-0.690079 -0.481451 -0.109626 4 3
-0.550146 -0.081931 0.112442 4 3
-0.573467 -0.125536 0.092162 4 3
-0.594762 -0.167108 0.068840 4 3
-0.617071 -0.209698 0.041461 4 3
-0.641406 -0.255329 0.016111 4 3
-0.663714 -0.296901 -0.008225 4 3
-0.686023 -0.341518 -0.035603 4 3
-0.709344 -0.385122 -0.061968 4 3
-0.732668 -0.428724 -0.084276 4 3
-0.757004 -0.475368 -0.104556 4 3
-0.672841 -0.186374 0.051601 5 3
-0.697177 -0.232006 0.027265 5 3
-0.717457 -0.272566 0.007999 4 3
-0.742807 -0.319209 -0.016337 4 3
-0.766130 -0.363826 -0.038645 4 3
-0.786410 -0.403374 -0.060953 4 3
-0.810745 -0.449002 -0.083262 4 3
-0.835082 -0.494634 -0.107598 4 3
0.454738 0.026565 0.166184 -1 3
0.432430 -0.017036 0.148946 4 3
0.559181 -0.015006 0.139820 -1 3
0.513549 0.014398 0.171255 -1 3
0.490229 -0.030219 0.136778 4 3
0.369560 -0.009938 0.154016 4 3
0.194137 0.007302 0.171255 -1 3
0.171829 -0.034273 0.135764 4 3
0.299595 -0.007911 0.153002 4 3
0.277286 -0.051512 0.120554 4 3
0.251936 0.005272 0.170241 4 3
0.231655 -0.034273 0.135764 4 3
0.133296 -0.007911 0.161115 4 3
0.110989 -0.050497 0.130694 4 3
0.009588 -0.000812 0.168213 4 3
-0.012720 -0.043399 0.135764 4 3
0.078540 0.020481 0.166184 1 3
0.055218 -0.023120 0.146919 4 3
-0.184088 0.005272 0.170241 -1 3
-0.207410 -0.038330 0.141848 4 3
-0.053280 0.008314 0.169226 4 3
-0.076603 -0.036303 0.138806 4 3
-0.112094 0.011356 0.173283 4 3
-0.135416 -0.032246 0.146919 4 3
-0.233775 0.012371 0.169226 -1 3
-0.259125 -0.035288 0.143876 4 3
-0.366610 -0.007911 0.167198 4 3
-0.388918 -0.051512 0.131708 4 3
-0.291573 0.015413 0.166184 -1 3
-0.314896 -0.029204 0.147932 4 3
-0.505529 0.004260 0.173283 4 3
-0.525810 -0.036303 0.141848 4 3
-0.441647 -0.007911 0.168213 4 3
-0.462941 -0.048470 0.134750 4 3
-0.810745 -0.466242 -0.101514 4 3
-0.715430 -0.462185 -0.108612 4 3
-0.673855 -0.492607 -0.126864 4 3
-0.451787 -0.483481 -0.122808 4 3
-0.720500 -0.369910 -0.057912 4 3
-0.678924 -0.400332 -0.076164 4 3
-0.640392 -0.428724 -0.088332 4 3
-0.598818 -0.459143 -0.109626 4 3
-0.559271 -0.488550 -0.124836 4 3
-0.667771 -0.234033 0.027265 4 3
-0.627211 -0.263440 0.001915 4 3
-0.586650 -0.293859 -0.015323 4 3
-0.546090 -0.323266 -0.034589 4 3
-0.504516 -0.354700 -0.052841 4 3
-0.464969 -0.383092 -0.071094 4 3
-0.423394 -0.414526 -0.088332 4 3
-0.699205 -0.299943 -0.012281 4 3
-0.661686 -0.328338 -0.035603 4 3
-0.621126 -0.357742 -0.049800 4 3
-0.577523 -0.391206 -0.069066 4 3
-0.496403 -0.450017 -0.105570 4 3
-0.643434 -0.179278 0.057686 4 3
-0.602873 -0.209698 0.030307 4 3
-0.564342 -0.238090 0.013069 4 3
-0.523780 -0.268509 -0.006197 4 3
-0.478152 -0.301973 -0.024449 4 3
-0.440632 -0.329350 -0.040674 4 3
-0.401086 -0.358757 -0.056898 4 3
-0.317938 -0.420610 -0.095430 4 3
-0.276363 -0.452044 -0.111654 4 3
-0.233775 -0.482466 -0.135990 4 3
-0.167864 -0.398302 -0.081234 4 3
-0.127304 -0.427709 -0.096444 4 3
-0.084716 -0.460158 -0.108612 4 3
-0.043141 -0.490577 -0.139032 4 3
-0.617071 -0.127563 0.087092 5 3
-0.577523 -0.156970 0.062756 4 3
-0.496403 -0.216796 0.024223 4 3
-0.455842 -0.247215 0.007999 4 3
